listing_id,avg_sentiment_positive_count,avg_sentiment_negative_count,avg_sentiment_positive_percent,avg_sentiment_positivity,high_conf_sentiment_positive_count,high_conf_sentiment_negative_count,high_conf_sentiment_positive_percent,high_conf_sentiment_positivity,long_conf_sentiment_positive_count,long_conf_sentiment_negative_count,long_conf_sentiment_positive_percent,long_conf_sentiment_positivity,classified_sentiment_positive_count,classified_sentiment_negative_count,classified_sentiment_positive_percent,classified_sentiment_positivity,latitude,longitude,review_scores_rating
21368263,17,14,0.5483870967741935,0,28,3,0.9032258064516129,1,22,9,0.7096774193548387,1,23,8,0.7419354838709677,1,30.2936,-97.6995,97
27310107,1,2,0.3333333333333333,0,2,1,0.6666666666666666,0,2,1,0.6666666666666666,0,2,1,0.6666666666666666,0,30.3841,-97.699,98
17611669,null,3,0,0,1,2,0.3333333333333333,0,2,1,0.6666666666666666,0,2,1,0.6666666666666666,0,30.2864,-97.7489,90
21378172,1,null,1,1,1,null,1,1,1,null,1,1,1,null,1,1,30.2547,-97.7766,100
21364411,3,1,0.75,1,4,null,1,1,3,1,0.75,1,4,null,1,1,30.2204,-97.9106,100
22937302,null,1,0,0,1,null,1,1,1,null,1,1,1,null,1,1,30.2581,-97.7283,100
27102313,1,2,0.3333333333333333,0,2,1,0.6666666666666666,0,1,2,0.3333333333333333,0,1,2,0.3333333333333333,0,30.4362,-97.7307,98
21366577,12,11,0.5217391304347826,0,22,1,0.9565217391304348,1,20,3,0.8695652173913043,1,20,3,0.8695652173913043,1,30.1469,-97.8568,98
977492,32,20,0.6153846153846154,0,43,9,0.8269230769230769,1,36,16,0.6923076923076923,0,36,16,0.6923076923076923,0,30.2521,-97.7238,98
21380835,1,1,0.5,0,2,null,1,1,1,1,0.5,0,1,1,0.5,0,30.2661,-97.7426,98
7340463,9,4,0.6923076923076923,0,10,3,0.7692307692307693,1,8,5,0.6153846153846154,0,9,4,0.6923076923076923,0,30.3289,-97.7622,95
79603,null,1,0,0,1,null,1,1,1,null,1,1,1,null,1,1,30.2494,-97.759,94
26718562,22,25,0.46808510638297873,0,34,13,0.723404255319149,1,29,18,0.6170212765957447,0,29,18,0.6170212765957447,0,30.2584,-97.7251,100
17616608,32,12,0.7272727272727273,1,40,4,0.9090909090909091,1,23,21,0.5227272727272727,0,28,16,0.6363636363636364,0,30.3804,-97.672,100
26716344,21,27,0.4375,0,43,5,0.8958333333333334,1,31,17,0.6458333333333334,0,33,15,0.6875,0,30.2983,-97.6997,99
7344751,2,2,0.5,0,3,1,0.75,1,3,1,0.75,1,2,2,0.5,0,30.2636,-97.745,100
3862246,96,63,0.6037735849056604,0,135,24,0.8490566037735849,1,102,57,0.6415094339622641,0,114,45,0.7169811320754716,1,30.2673,-97.72,96
7351170,47,34,0.5802469135802469,0,67,14,0.8271604938271605,1,58,23,0.7160493827160493,1,61,20,0.7530864197530864,1,30.2324,-97.78,97
17608988,3,3,0.5,0,4,2,0.6666666666666666,0,1,5,0.16666666666666666,0,2,4,0.3333333333333333,0,30.2764,-97.7119,93
28003194,null,1,0,0,1,null,1,1,1,null,1,1,1,null,1,1,30.2329,-97.7348,99
26749379,2,1,0.6666666666666666,0,2,1,0.6666666666666666,0,1,2,0.3333333333333333,0,1,2,0.3333333333333333,0,30.2894,-97.7489,94
13361970,83,73,0.532051282051282,0,120,35,0.7741935483870968,1,87,69,0.5576923076923077,0,102,53,0.6580645161290323,0,30.1829,-97.8015,98
17609889,1,null,1,1,1,null,1,1,null,1,0,0,1,null,1,1,30.2668,-97.74,100
17608456,6,8,0.42857142857142855,0,11,3,0.7857142857142857,1,8,6,0.5714285714285714,0,9,5,0.6428571428571429,0,30.2771,-97.6782,98
7348932,4,13,0.23529411764705882,0,13,4,0.7647058823529411,1,12,5,0.7058823529411765,1,12,5,0.7058823529411765,1,30.2489,-97.753,94
39993,1,null,1,1,1,null,1,1,1,null,1,1,1,null,1,1,30.3,-97.7783,99
14820133,null,1,0,0,null,1,0,0,null,1,0,0,null,1,0,0,30.2247,-97.7534,97
7345104,6,6,0.5,0,10,2,0.8333333333333334,1,8,4,0.6666666666666666,0,9,3,0.75,1,30.2483,-97.755,100
27057328,null,1,0,0,1,null,1,1,1,null,1,1,1,null,1,1,30.2915,-97.745,93
21361062,5,3,0.625,0,8,null,1,1,4,4,0.5,0,5,3,0.625,0,30.4138,-97.9204,88
4030864,null,1,0,0,null,1,0,0,null,1,0,0,null,1,0,0,30.2547,-97.7361,99
26750214,2,1,0.6666666666666666,0,3,null,1,1,2,1,0.6666666666666666,0,2,1,0.6666666666666666,0,30.3339,-97.6493,100
5456,89,62,0.5894039735099338,0,114,37,0.7549668874172185,1,97,54,0.6423841059602649,0,105,46,0.695364238410596,0,30.2611,-97.7345,96
21360822,43,60,0.4174757281553398,0,82,21,0.7961165048543689,1,62,41,0.6019417475728155,0,70,31,0.693069306930693,0,30.2423,-97.7729,97
27674783,null,1,0,0,1,null,1,1,1,null,1,1,1,null,1,1,30.2912,-97.7468,97
